bvmc_id,nombre,wikidata_uri,pais,sexo,imagen,ano_nacimiento,ano_fallecimiento,generos
11307,Plinio el Viejo,http://www.wikidata.org/entity/Q82778,Antigua Roma,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Grande%20Illustrazione%20del%20Lombardo%20Veneto%20Vol%203%20Plinio%20Secondo%20300dpi.jpg,23,79,
11772,Alvar Aalto,http://www.wikidata.org/entity/Q82840,Finlandia,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Alvar%20Aalto1.jpg,1898,1976,
31601,Joseph Conrad,http://www.wikidata.org/entity/Q82925,Reino Unido,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Joseph%20Conrad.PNG,1857,1924,
31601,Joseph Conrad,http://www.wikidata.org/entity/Q82925,Polonia,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Joseph%20Conrad.PNG,1857,1924,
10369,Pierre de Coubertin,http://www.wikidata.org/entity/Q82984,Francia,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Baron%20Pierre%20de%20Coubertin.jpg,1863,1937,
73803,Antonio Gramsci,http://www.wikidata.org/entity/Q83003,Reino de Italia,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Gramsci.png,1891,1937,
59993,Gregorio XIII,http://www.wikidata.org/entity/Q83029,,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Gregory%20XIII.jpg,1502,1585,
82641,Salvatore Quasimodo,http://www.wikidata.org/entity/Q83038,Italia,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Salvatore%20Quasimodo%201959.jpg,1901,1968,
41348,Saul Bellow,http://www.wikidata.org/entity/Q83059,Estados Unidos,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/SaulBellow.jpg,1915,2005,
59559,Clemente VII,http://www.wikidata.org/entity/Q83159,Francia,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Sebastiano%20del%20piombo%2C%20clemente%20VII%2C%20napoli%2C%20capodimonte.jpg,1478,1534,
66109,Eugenio Montale,http://www.wikidata.org/entity/Q83174,Italia,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Eugenio%20Montale.jpg,1896,1981,
8412,Jacinto Benavente,http://www.wikidata.org/entity/Q83184,España,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Jacinto%20Benavente%20y%20Martinez.jpg,1866,1954,dramaturgia#teatro
44121,Béla Bartók,http://www.wikidata.org/entity/Q83326,Hungría,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Bart%C3%B3k%20B%C3%A9la%201927.jpg,1881,1945,ópera
50777,Sha Jahan,http://www.wikidata.org/entity/Q83672,,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Umbrella-china2-lg.jpg,1592,1666,
8099,Hans Kelsen,http://www.wikidata.org/entity/Q84165,Austria,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Hans%20Kelsen1.jpg,1881,1973,
70844,Maximiliano I de México,http://www.wikidata.org/entity/Q84192,Segundo Imperio Mexicano,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Emperador%20Maximiliano%20I%20de%20Mexico.jpg,1832,1867,
70844,Maximiliano I de México,http://www.wikidata.org/entity/Q84192,Imperio austríaco,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Emperador%20Maximiliano%20I%20de%20Mexico.jpg,1832,1867,
1720,Nikolaus Lenau,http://www.wikidata.org/entity/Q84280,Imperio austríaco,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Lenau.jpg,1802,1850,
1720,Nikolaus Lenau,http://www.wikidata.org/entity/Q84280,Imperio austríaco,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Nikolaus%20Lenau%20%28Friedrich%20Amerling%29.jpg,1802,1850,
65011,Georg von Peuerbach,http://www.wikidata.org/entity/Q84289,,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Peuerbach-Theoricarum-1515.png,1423,1461,
20192,Georg von Peuerbach,http://www.wikidata.org/entity/Q84289,,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Peuerbach-Theoricarum-1515.png,1423,1461,
8505,Julius von Kirchmann,http://www.wikidata.org/entity/Q84502,Alemania,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Julius%20von%20Kirchmann.JPG,1802,1884,
73308,Salomon Stricker,http://www.wikidata.org/entity/Q84573,Austria,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Salomon%20Stricker%20by%20Josef%20Loewy.jpg,1834,1898,
44315,Karol Rathaus,http://www.wikidata.org/entity/Q84660,Austria,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Karol%20Rathaus.jpg,1895,1954,sinfonía
44315,Karol Rathaus,http://www.wikidata.org/entity/Q84660,Polonia,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Karol%20Rathaus.jpg,1895,1954,sinfonía
44315,Karol Rathaus,http://www.wikidata.org/entity/Q84660,Estados Unidos,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Karol%20Rathaus.jpg,1895,1954,sinfonía
60006,Jacob Micyllus,http://www.wikidata.org/entity/Q84776,Alemania,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Jakob%20Micyllus.jpg,1503,1558,
52589,George Weidenfeld,http://www.wikidata.org/entity/Q84842,Reino Unido,masculino,,1919,2016,
52589,George Weidenfeld,http://www.wikidata.org/entity/Q84842,Austria,masculino,,1919,2016,
70604,Friedrich Katz,http://www.wikidata.org/entity/Q84848,Austria,masculino,,1927,2010,
4940,Martin Gusinde,http://www.wikidata.org/entity/Q84866,Austria,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Martin%20Gusinde.jpg,1886,1969,
11460,Filippo Juvara,http://www.wikidata.org/entity/Q85000,Italia,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Masucci-juvarra-acad.JPG,1678,1736,
